"year_number","month_number","cost"
"2019","1","2752.0361584907996"
"2019","2","2485.1342321801994"
"2019","3","2702.1138302529994"
"2019","4","1621.4431572809995"
"2019","5","1899.2612649404005"
"2019","6","1893.260357187799"
"2019","7","2512.1828179488007"
"2019","8","2757.6663803114006"
"2019","9","3193.5425122339993"
"2019","10","3244.2099133842007"
"2019","11","3274.726909513801"
"2019","12","3568.7567438160027"
"2020","1","3884.4961648836993"
"2020","2","4853.947953431001"
"2020","3","4944.021210067802"
"2020","4","4260.451868826299"
"2020","5","4022.1481590782996"
"2020","6","3909.789299649201"
"2020","7","4086.9450727366993"
"2020","8","3523.0071179834013"
"2020","9","3646.691138593502"
"2020","10","3742.9521110489"
"2020","11","3626.991879447601"
"2020","12","4557.044221746699"
"2021","1","4521.250915022403"
"2021","2","3731.556799965297"
"2021","3","4540.295524744399"
"2021","4","4333.589961642399"
"2021","5","4420.773088643601"
"2021","6","4668.6287236368"
"2021","7","4510.570759517097"
"2021","8","5655.699257370201"
"2021","9","6323.994398942899"
"2021","10","7224.9291508792"
"2021","11","7478.092443579408"
"2021","12","7746.703245553709"
"2022","1","14187.550724571385"
"2022","2","15871.677280611277"
"2022","3","6315.201666191398"
"2022","4","14558.49829542712"
"2022","5","13727.254957719695"
"2022","6","15113.296875385087"
"2022","7","17167.359476759993"
"2022","8","20435.66365052691"
"2022","9","20543.874688938617"
"2022","10","20298.523016009953"
"2022","11","19059.541858987486"
"2022","12","20067.243241661286"
"2023","1","17763.293396926696"
"2023","2","15163.287899153955"
"2023","3","3714.1833944098025"
"2023","4","7595.611199230004"
"2023","5","14030.840116969244"
"2023","6","13495.474918931433"
"2023","7","9764.829290927042"
"2023","8","9880.850390192434"
"2023","9","10963.122380828429"
"2023","10","11266.919608816423"
"2023","11","10745.75174572002"
"2023","12","11544.716795937604"
"2024","1","9858.490362530012"
"2024","2","10073.919572246394"
"2024","3","4370.053390681"
